STATE	CITY	APPLICANT/LICENSEE NAME	LICENSE NO.	DOCKET	REGION	RECEIVED	TYPE/ACTION
MD	BETHESDA	UNIFORMED SERVICES UNIVERSITY OF   	19-08330-02  	3004545	1	40018	4
MI	LIVONIA	"SENTINEL IMAGING, LLC              "	21-32756-01  	3038088	3	40018	2
MO	MOBERLY	"MOBERLY HOSPITAL COMPANY, LLC      "	24-18695-01  	3014054	3	40018	4
MO	ST. LOUIS	COLBY & THIELMEIER TESTING COMPANY 	24-13737-01  	3005159	3	40018	4
NJ	LINDEN	TESTWELL INC..                     	29-31032-01  	3036902	1	40018	5
NJ	RIVERSIDE	LIPPINCOTT ENGINEERING ASSOCIATES  	29-19503-01  	3017800	1	40018	4
VA	CHARLOTTESVILLE	VARIAN MEDICAL SYSTEMS             	45-30957-01  	3036666	1	40018	4
VA	MIDDLETOWN	"XERIUM TECHNOLOGIES, INC.          "	45-31371-02  	3038085	1	40018	1
VA	MIDDLETOWN	"XERIUM TECHNOLOGIES, INC.          "	45-31371-01  	3038035	3	40018	4
IN	LAFAYETTE	"CLARIAN ARNETT HEALTH SYSTEM, INC. "	13-32535-02  	3037189	3	40021	4
IN	WHITING	"BP PRODUCTS NORTH AMERICA, INC.    "	13-00155-12  	3004326	3	40021	4
MI	KALAMAZOO	BORGESS MEDICAL CENTER             	21-12275-02  	3002115	3	40021	4
MI	MONROE	MERCY MEMORIAL HOSPITAL            	21-18816-01  	3014210	3	40021	4
MO	INDEPENDENCE	CENTERPOINT MEDICAL CTR OF IND.LLC 	24-18655-01  	3013994	3	40021	4
MO	KANSAS CITY	ST. LUKE'S HOSPITAL OF KANSAS CITY 	24-00889-01  	3002286	3	40021	4
NJ	FAIRLAWN	HEART & VASCULAR ASSOC. OF NORTHERN	29-30795-01  	3036187	1	40021	4
NJ	JERSEY CITY	CHRIST HOSPITAL                    	29-12664-01  	3002556	1	40021	4
NJ	PARAMUS	"LUNDBECK RESEARCH USA, INC.        "	29-28169-01  	3030473	1	40021	4
NJ	RED BANK	"PIC,PHYSICIANS IMAGING CENTER      "	29-28041-01  	3030030	1	40021	4
NJ	THOROFARE	"EASTERN TESTING & INSPECTION, INC. "	29-09814-01  	3005373	1	40021	4
PR	SAN JUAN	CRMI                               	52-25430-01  	3034704	1	40021	4
PR	SAN JUAN	CRMI                               	52-25430-03  	3036911	1	40021	4
WV	CLARKSBURG	"THRASHER ENGINEERING, INC.         "	47-23065-01  	3020231	1	40021	4
WV	HURRICANE	"CARDIOVASCULAR CONSULTANTS, PLLC   "	47-25478-01  	3035150	1	40021	3
WY	CASPER	"PHARMALOGIC WY, INC.               "	49-27629-01MD	3038007	4	40021	4
IN	DANVILLE	HENDRICKS REGIONAL HEALTH          	13-17082-01  	3012163	3	40022	4
MO	SALEM	SALEM MEMORIAL DISTRICT HOSPITAL   	24-18891-01  	3017320	3	40022	4
SD	SIOUX FALLS	SANFORD MEDICAL CENTER             	40-12378-01  	3003249	4	40022	4
WV	BERKELEY SPRINGS	U.S. SILICA COMPANY                	47-09375-10  	3038086	1	40022	1
WV	BERKELEY SPRINGS	U.S. SILICA COMPANY                	47-09375-07  	3014788	1	40022	4
CT	HARTFORD	"SMITH, ROBERT M., M.D.             "	06-30496-01  	3034922	1	40023	3
CT	WILLIMANTIC	EASTERN CONNECTICUT STATE UNIV.    	06-20971-01  	3022168	1	40023	4
IN	RUSHVILLE	RUSH MEDICAL ARTS GROUP            	13-32485-01  	3036467	3	40023	5
MI	DEARBORN	DEARBORN CARDIOLOGY ASSOCIATES     	21-32196-01  	3035146	3	40023	3
MI	FARMINGTON HILLS	BOTSFORD GENERAL HOSPITAL          	21-08892-01  	3002077	3	40023	4
MI	IRON RIVER	NORTHSTAR HEALTH SYSTEM            	21-18586-01  	3013903	3	40023	4
MI	MOUNT PLEASANT	CENTRAL MICHIGAN COMMUNITY HOSPITAL	21-08966-01  	3002078	3	40023	4
MI	NOVI	"CONTEMPORARY IMAGING ASSOCIATES, PC"	21-25980-01  	3030845	3	40023	4
NJ	EDISON	JOHN F. KENNEDY MEDICAL CENTER     	29-12611-01  	3002555	1	40023	4
NJ	TINTON FALLS	CARDIAC CARE CENTER                	29-30501-01  	3034941	1	40023	4
OH	CINCINNATI	ENVIRONMENTAL PROTECTION AGENCY    	34-12736-02  	3013379	3	40023	4
WA	TACOMA	"ARMY, DEPARTMENT OF THE            "	46-02645-03  	3003368	4	40023	4
MI	GRAND RAPIDS	SPECTRUM HEALTH HOSPITALS          	21-00243-06  	3001989	3	40024	4
MO	CLINTON	"HILTY QUARRIES, INC.               "	24-32757-01  	3038089	3	40024	2
NJ	NUTLEY	"HOFFMANN-LA ROCHE, INC.            "	29-00018-02  	3005210	1	40024	9
PR	SAN JUAN	PUERTO RICO MEDICAL SERVICES ADM.  	52-31281-02  	3037829	1	40024	4
IN	INDIANAPOLIS	"BEAM, LONGEST & NEFF, LLC          "	13-32758-01  	3038095	3	40025	2
MI	ROSEVILLE	CARDIOLOGY ASSOCIATES OF MICHIGAN  	21-26368-01  	3032566	3	40025	4
MO	KANSAS CITY	CURATORS OF THE UNIVERSITY OF MO   	24-00513-37  	3032693	3	40025	4
NJ	BRANCHBURG	"FERREIRA CONSTRUCTION, CO., INC.   "	29-30493-02  	3035699	1	40025	4
NJ	CEDAR KNOLLS	"OWEIS ENGINEERING, INC.            "	29-30946-01  	3036645	1	40025	4
NJ	CRANBERRY	"LIGAND PHACMACEUTICALS, INC.       "	29-30152-01  	3033542	1	40025	9
NJ	EDISON	"SPENCER ENGINEERING LAB, LLC       "	29-31053-01  	3036955	1	40025	4
NJ	ELIZABETH	"HAWKE INSPECTIONS & TESTING, LLC   "	29-30439-01  	3034677	1	40025	4
NJ	ELMWOOD PARK	"YU & ASSOCIATES, INC.              "	29-30837-01  	3036397	1	40025	4
NJ	HAMMONTON	"ASPHALT PAVING SYSTEMS, INC.       "	29-30507-01  	3034977	1	40025	4
NJ	HOPELAWN	MT OPERATING OF NEW JERSEY LLC     	29-30465-01  	3034791	1	40025	4
NJ	MIDLAND PARK	MICHAEL W. LAIRMORE ASSOCIATES     	29-30227-02  	3038090	1	40025	1
NJ	MIDLAND PARK	"LAN ASSOC. ENGINEERING, PLANNING,  "	29-30740-01  	3036046	1	40025	4
NJ	MIDLAND PARK	MICHAEL W. LAIRMORE ASSOCIATES     	29-30227-01  	3033875	1	40025	4
NJ	NEW BRUNSWICK	ST. PETER'S UNIVERSITY HOSPITAL    	29-07566-01  	3002502	1	40025	4
NJ	PINE BROOK	"SOILS ENGINEERING SERVICES, INC.   "	29-18416-01  	3015044	1	40025	4
NJ	PRINCETON	FMC CORPORATION                    	29-01035-01  	3005249	1	40025	9
NJ	RAHWAY	"ATLANTIC ENGINEERING LABS, INC.    "	29-30940-01  	3036639	1	40025	4
NJ	RED BANK	MASER CONSULTING P.A.              	29-30494-02  	3038091	1	40025	1
NJ	RED BANK	MASER CONSULTING P.A.              	29-30494-01  	3034918	1	40025	4
NJ	RINGOES	"PRINCETON HYDRO, LLC               "	29-30767-01  	3036110	1	40025	4
NJ	WARREN	"WHITESTONE ASSOCIATES, INC.        "	29-30575-02  	3038097	1	40025	1
NJ	WARREN	"WHITESTONE ASSOCIATES, INC.        "	29-30575-01  	3035405	1	40025	4
NJ	WOODSTOWN	RICHARD E. PIERSON CONSTRUCTION CO.	29-30279-02  	3038093	1	40025	1
NJ	WOODSTOWN	"RICHARD E. PIERSON CONST. CO., INC."	29-30279-01  	3034072	1	40025	4
TX	FT. HOOD	"ARMY, DEPARTMENT OF THE            "	42-19113-01  	3016084	4	40025	4
NJ	EAST ORANGE	FRANK H. LEHR ASSOCIATES           	29-17764-01  	3013287	1	40028	4
OH	DUBLIN	CARDINAL HEALTH                    	34-29200-01MD	3036973	3	40028	4
SD	RAPID CITY	"RAPID CITY REGIONAL HOSPITAL, INC. "	40-00238-04  	3003231	4	40028	4
SD	YANKTON	AVERA SACRED HEART HOSPITAL        	40-01683-01  	3003235	4	40028	8
TX	LA PORTE	ACUREN INSPECTION INC              	42-27593-01  	3034780	4	40028	4
VA	ROANOKE	"ECS-MID-ATLANTIC, LLC              "	45-25534-01  	3035465	1	40028	4
WV	WILLIAMSON	WILLIAMSON MEMORIAL HOSPITAL       	47-25358-01  	3034138	1	40028	4
CT	NEW HAVEN	SCHULZ ELECTRIC COMPANY            	06-31045-01  	3036931	1	40029	4
CT	OXFORD	"BIOCOMPATIBLES, INC.               "	06-30764-01  	3036099	1	40029	4
CT	OXFORD	"BIOCOMPATIBLES, INC.               "	06-30764-02MD	3036179	1	40029	4
FL	HOLLYWOOD	"AZOPHARMA CONTRACT SERVICES, INC.  "	09-32759-01  	3038096	3	40029	2
IN	EVANSVILLE	EVANSVILLE CANCER CENTER           	13-25945-01  	3030712	3	40029	4
LA	COVINGTON	"WEEKS MARINE, INC.                 "	17-30778-02  	3038098	1	40029	1
LA	COVINGTON	"WEEKS MARINE, INC.                 "	17-30778-01  	3036135	4	40029	4
MI	DETROIT	KARMANOS CANCER CENTER             	21-04127-06  	3009376	3	40029	4
MI	HOUGHTON	MICHIGAN TECHNOLOGICAL UNIVERSITY  	21-00278-02  	3000810	3	40029	4
MI	KALAMAZOO	BRONSON METHODIST HOSPITAL         	21-13125-01  	3002146	3	40029	4
MI	LANSING	"ADVANCED CARDIOLOGY, PLLC.         "	21-32569-01  	3036926	3	40029	4
MI	MARQUETTE	UPPER MICHIGAN CARDIOVASCULAR      	21-32210-01  	3035226	3	40029	3
MO	ST. JOSEPH	HEARTLAND REGIONAL MEDICAL CENTER  	24-18287-01  	3014791	3	40029	4
MO	ST. LOUIS	CARDIOLOGY CONSULTANTS OF ST. LOUIS	24-32760-01  	3038105	3	40029	2
MO	ST. LOUIS	MALLINCKRODT INC.                  	24-04206-10MD	3029675	3	40029	4
MT	ROUNDUP	SIGNAL PEAK ENERGY                 	25-29351-01  	3038052	4	40029	8
NJ	OXFORD	"AMOX, INC.                         "	29-31378-01  	3038092	1	40029	2
NJ	RAHWAY	"VERITCAL V-NORTHEAST, INC.         "	29-30107-01  	3033387	1	40029	4
OK	HENRYETTA	"BILL MILLER, INC.                  "	35-19048-01  	3015283	4	40029	5
PA	MECHANICSBURG	"ADVANTAGE ENGINEERS, LLC           "	37-30704-01  	3035895	1	40029	4
WA	TACOMA	"ARMY, DEPARTMENT OF THE            "	46-02645-03  	3003368	4	40029	4
CO	BOULDER	"COMMERCE, DEPARTMENT OF            "	05-11997-01  	3003746	4	40030	4
CT	BRANFORD	"CGI PHARMACEUTICALS, INC.          "	06-30583-01  	3035426	1	40030	4
IN	EVANSVILLE	INDIANA UNIVERSITY SCHOOL OF MED.  	13-15734-01  	3009673	3	40030	4
IN	EVANSVILLE	INDIANA UNIVERSITY SCHOOL OF MED.  	13-15734-01  	3009673	3	40030	6
IN	INDIANAPOLIS	"COMMUNITY HOSPITALS OF INDIANA, INC"	13-06009-01  	3001625	3	40030	4
MI	PARMA	JANX INTEGRITY GROUP               	21-16560-03  	3038115	3	40030	1
MI	PARMA	JANX INTEGRITY GROUP               	21-16560-01  	3011772	3	40030	4
MO	HANNIBAL	HANNIBAL REGIONAL HOSPITAL         	24-18988-01  	3017616	3	40030	4
MO	ST. LOUIS	DES PERES HOSPITAL                 	24-32195-01  	3035144	3	40030	3
MT	BUTTE	JIM GILMAN EXCAVATING INC          	25-29360-01  	3038107	4	40030	2
NJ	OCEAN	"NARI MEDICAL ASSOCIATION, LLC      "	29-30988-01  	3036822	1	40030	4
NJ	SAYREVILLE	CARLIN-SIMPSON & ASSOCIATES        	29-19641-02  	3038099	1	40030	1
NJ	SAYREVILLE	CARLIN-SIMPSON & ASSOCIATES        	29-19641-01  	3019015	1	40030	4
NJ	TOTOWA	URS CORPORATION                    	29-19765-02  	3028799	1	40030	4
AR	JEFFERSON	"HEALTH & HUMAN SERVICES, DEPT. OF  "	03-15093-01  	3008559	4	40031	4
IL	BATAVIA	AMERICAN DIAGNOSTIC MEDICINE       	12-32597-03  	3038117	3	40031	1
IL	BATAVIA	AMERICAN DIAGNOSTIC MEDICINE       	12-32597-01  	3037037	3	40031	4
IN	BEECH GROVE	ST. FRANCIS HOSPITAL & HEALTH CNTR.	13-02128-03  	3009398	3	40031	4
IN	INDIANAPOLIS	ST. FRANCIS NUCLEAR CARDIAC        	13-26260-01  	3031994	3	40031	5
IN	WEST LAFAYETTE	PURDUE UNIVERSITY                  	SNM-142      	7000152	0	40031	3
MI	SAGINAW	"COVENANT MEDICAL CENTER, INC.      "	21-01492-02  	3002012	3	40031	4
MI	SHEPHERD	"ARTINIAN, CHARLES GARY., M.D.      "	21-32510-01  	3036568	3	40031	5
MI	TRENTON	"SOLUTIA, INC.                      "	21-05103-02  	3004831	3	40031	5
MO	ST. LOUIS	MALLINCKRODT INC.                  	24-04206-11MD	3030262	3	40031	4
NJ	BELLEVILLE	CLARA MAASS MEDICAL CENTER         	29-03163-03  	3002467	1	40031	4
NJ	MORRISTOWN	MORRISTOWN MEMORIAL HOSPITAL       	29-05139-03  	3002482	1	40031	4
NY	NEW YORK	"RICHEMONT NORTH AMERICA, INC.      "	31-23806-01E 	3032720	0	40031	5
PA	PITTSBURGH	"SYSTEM ONE HOLDINGS, LLC           "	37-27891-02  	3037788	1	40031	4
VA	RESTON	SENTRILLION                        	45-25479-01  	3035152	1	40031	5
AZ	TUCSON	"SHORT/DOLAN INVESTMENTS, INC.      "	02-29359-01  	3038103	4	40032	2
CA	IRWINDALE	"NDC INFRARED ENGINEERING, INC.     "	04-23264-01  	3020431	4	40032	4
CT	YALESVILLE	"I2S, LLC                           "	06-21253-01  	3020102	1	40032	4
CT	YALESVILLE	"I2S, LLC                           "	06-21253-02G 	3020101	1	40032	4
DE	REHOBOTH BEACH	SOUTHERN DELAWARE SURGERY CENTER   	07-31145-01  	3037185	1	40032	5
HI	HONOLULU	URS CORPORATION                    	53-29346-01  	3038036	4	40032	1
HI	HONOLULU	GAMMA KNIFE CENTER OF THE PACIFIC  	53-11966-02  	3034629	4	40032	4
IN	HAMMOND	SAINT MARGARET MERCY HLTHCARE CNTRS	13-02047-02  	3001602	3	40032	4
IN	PORTER	WORTHINGTON STEEL                  	13-26511-01  	3033233	3	40032	4
IN	TERRE HAUTE	"UNION HOSPITAL, INC.               "	13-16457-01  	3011072	3	40032	4
MI	HOLLAND	HOLLAND COMMUNITY HOSPITAL         	21-18502-01  	3013801	3	40032	4
MI	LANSING	"CPI PHARMACY SERVICES HOLDING, LLC "	21-26597-01MD	3033629	3	40032	4
MO	OVERLAND	"MEDI-PHYSICS, INC.                 "	24-32462-01MD	3036453	3	40032	4
NJ	HOBOKEN	"HOBOKEN RADIOLOGY, LLC             "	29-30928-01  	3036613	1	40032	4
NM	ALBUQUERQUE	LOVELACE RESPIRATORY RESEARCH INST 	30-29237-01  	3037312	4	40032	4
SD	RAPID CITY	"RAPID CITY REGIONAL HOSPITAL, INC. "	40-00238-04  	3003231	4	40032	4
WI	GREEN BAY	ADVANCED SERVICE PROVIDERS         	48-32464-01  	3036444	3	40032	4
WV	MARTINSBURG	CAPITOL CEMENT CORPORATION         	47-11451-01  	3006692	1	40032	4
NJ	KINGSTON	"TRAP ROCK INDUSTRIES, INC.         "	29-19707-01  	3019135	1	40033	4
AK	FAIRBANKS	"ALASKA, UNIV OF FAIRBANKS, ENVIR   "	50-02430-07  	3001179	4	40035	4
AL	REDSTONE ARSENAL	"ARMY, DEPARTMENT OF THE            "	01-00126-16  	3012630	1	40035	4
CT	MYSTIC	MONSANTO COMPANY                   	06-28624-01  	3032126	1	40035	4
DE	LEWES	BEEBE MEDICAL CENTER               	07-17792-01  	3013331	1	40035	4
HI	KUNIA	HAWAII AGRICULTURE RESEARCH CENTER 	53-00515-01  	3006839	4	40035	4
IL	BURR RIDGE	MISTRAS GROUP INC                  	12-16559-05  	3038116	3	40035	1
IL	BURR RIDGE	MISTRAS GROUP INC.                 	12-16559-02  	3035114	3	40035	4
IN	INDIANAPOLIS	SOLAR SOURCES INCORPORATED         	13-32179-01  	3035021	3	40035	5
KY	OWENSBORO	"INTEGRITY TESTING & INSPECTION, INC"	16-31189-01  	3037343	1	40035	4
MI	STANDISH	ST.MARY'S OF MICHIGAN STANDISH HOSP	21-21265-01  	3020121	3	40035	4
MI	TRENTON	"TRENTON TESTING CENTER, LLC.       "	21-32635-01  	3037358	3	40035	4
MT	BILLINGS	BILLINGS CLINIC                    	25-01051-01  	3002389	4	40035	4
MT	BILLINGS	ST. VINCENT HEALTHCARE             	25-07553-01  	3002396	4	40035	4
NJ	MOORESTOWN	"T&M ASSOCIATES, INC.               "	29-30716-01  	3035929	1	40035	4
NJ	PENNSAUKEN	MC CLYMONT & RAK GEOTECH. ENGINEERS	29-30449-02  	3036277	1	40035	4
NJ	RINGOES	"PRINCETON HYDRO, LLC               "	29-30767-02  	3038101	1	40035	1
NJ	TRENTON	"SADAT ASSOCIATES, INC.             "	29-30252-02  	3035666	1	40035	4
PA	EXTON	"TERRANEARPMC, LLC                  "	             	3038094	1	40035	2
PR	SAN JUAN	"PUERTO RICO, UNIVERSITY OF         "	52-01986-04  	3001183	1	40035	4
VA	HAMPTON	ADVEX CORPORATION                  	45-16452-01  	3011069	1	40035	4
CT	BRIDGEPORT	"MEGAN, LLC                         "	06-19279-01  	3017254	1	40036	4
CT	EAST HARTFORD	"CABRERA SERVICES, INC.             "	06-30556-01  	3035316	1	40036	8
HI	HONOLULU	"PACIFIC CARDIOLOGY, LLC            "	53-27747-01  	3036196	4	40036	8
IN	KOKOMO	HOWARD REGIONAL HEALTH SYSTEM      	13-13028-02  	3013342	3	40036	4
MO	BOLIVAR	CITIZENS MEMORIAL HOSPITAL         	24-20330-02  	3035632	3	40036	4
NH	STRATHAM	"GEMCLEAR, LP                       "	28-23963-01E 	3037761	0	40036	4
NJ	FT. MONMOUTH	"ARMY, DEPARTMENT OF THE            "	29-01022-06  	3005248	1	40036	4
KS	OLATHE	"TERRACON CONSULTANTS, INC.         "	15-27070-01  	3032176	4	40037	8
NJ	FANWOOD	FANWOOD WESTFIELD CARDIOLOGY LLC   	29-31295-01  	3037600	1	40037	4
NJ	FT. MONMOUTH	"ARMY, DEPARTMENT OF THE            "	29-01022-14  	3029741	1	40037	4
NJ	JERSEY CITY	PORT AUTHORITY OF NY & NJ (THE)    	29-19834-02  	3032758	1	40037	4
NY	MINEOLA	"FUTURE TECH CONSULT OF NEW YORK,INC"	31-30664-01  	3035795	1	40037	4
ID	BOISE	"ISOSCAN, LLC                       "	11-29358-01  	3038104	4	40038	2
IN	INDIANAPOLIS	"ATC ASSOCIATES, INC.               "	13-17732-01  	3013245	3	40038	4
IN	MERRIVILLE	"METHODIST HOSPITAL OF GARY, INC.   "	13-16558-01  	3011234	3	40038	4
MO	HANNIBAL	JAMES E. CARY CANCER CENTER        	24-32681-01  	3037750	3	40038	4
MT	MOLT	"MATTINGLY TESTING SERVICES, INC.   "	25-21479-01  	3020836	4	40038	4
NJ	CEDAR GROVE	"SOR TESTING LABORATORIES, INC.     "	29-19454-01  	3017774	1	40038	4
NJ	KEYPORT	"KEEGAN TECH. & TESTING ASSOC., INC."	29-19282-01  	3017263	1	40038	4
NJ	PINE BROOK	"PORCELLO ENGINEERING, INC.         "	29-19155-01  	3017053	1	40038	4
NJ	PRINCETON	PRINCETON TECHNOLOGY CENTER        	29-08636-03  	3038102	1	40038	1
NJ	PRINCETON JUNCTION	PRINCETON TECHNOLOGY CENTER        	29-08636-02  	3011318	1	40038	4
NJ	TRENTON	NEW JERSEY DEPT. OF TRANSPORTATION 	29-05943-01  	3005315	1	40038	4
NJ	WARREN	"PAULUS, SOKOLOWSKI & SARTOR, INC.  "	29-19269-01  	3017246	1	40038	4
OH	DUBLIN	CARDINAL HEALTH                    	34-29200-5MD 	3038118	3	40038	1
OH	DUBLIN	CARDINAL HEALTH                    	34-29200-01MD	3036973	3	40038	4
PA	SOMERSET	CME MANAGEMENT LLC                 	37-30535-01  	3035224	1	40038	3
WV	CHARLESTON	CHARLESTON AREA MEDICAL CENTER     	47-15473-01  	3009164	1	40038	4
NJ	JERSEY CITY	"METAL MANAGEMENT NORTHEAST, INC.   "	29-30495-02  	3037329	1	40039	5
NJ	TOMS RIVER	TOMS RIVER CARDIAC DIAGNOSTIC CTR  	29-30344-01  	3034250	1	40039	4
OH	TOLEDO	OWENS CORNING WORLD HEADQUARTERS   	34-18712-04  	3038121	3	40039	1
OH	TOLEDO	OWENS CORNING WORLD HEADQUARTERS   	34-18712-02  	3035099	3	40039	4
PA	KING OF PRUSSIA	PENNONI ASSOCIATES INC.            	37-17637-02  	3017570	1	40039	4
PR	SAN JUAN	PUERTO RICO MEDICAL SERVICES ADM.  	52-31281-02  	3037829	1	40039	4
VA	STERLING	"IBA MOLECULAR NORTH AMERICA, INC.  "	45-25221-05  	3038113	1	40039	1
WV	SOUTH CHARLESTON	HERBERT J. THOMAS MEMORIAL HOSPITAL	47-17746-01  	3013267	1	40039	4
AR	NORTH LITTLE ROCK	"V. A., DEPARTMENT OF               "	03-23853-01VA	3034325	3	40042	6
CA	IRWINDALE	"NDC INFRARED ENGINEERING, INC.     "	04-23264-01  	3020431	4	40042	4
HI	HONOLULU	"HAWAII, UNIVERSITY OF              "	53-00017-23  	3007517	4	40042	4
ID	BLACKFOOT	"PREMIER TECHNOLOGY, INC.           "	11-27746-01  	3036173	4	40042	4
MI	LIVONIA	"LEVAN INTERNISTS, P.C.             "	21-32215-01  	3035235	3	40042	3
MI	PORT HURON	LAKEVIEW DIAGNOSTIC                	21-32444-01MD	3036222	3	40042	4
MI	TRAVERSE CITY	"PHARMALOGIC MICHIGAN, L.L.C.       "	21-32190-01MD	3035125	3	40042	4
MO	CAPE GIRARDEAU	SOUTHEAST MISSOURI STATE UNIVERSITY	24-09296-02  	3033508	3	40042	3
MO	LIBERTY	ADVANCED CARDIOVASCULAR SPECIALISTS	24-32712-01  	3037838	3	40042	4
MO	POPLAR BLUFF	ADVANCED HEALTH CARE MANAGEMENT    	24-32434-01  	3036170	3	40042	4
MO	ST. LOUIS	DONALD DANFORTH PLANT SCIENCE CNTR.	24-32339-01  	3035805	3	40042	4
MO	ST. LOUIS	"GENESIS SOLID WASTE GROUP, INC.    "	24-32539-01  	3036674	3	40042	4
NJ	NEPTUNE	SHORE HEART GROUP                  	29-30541-01  	3035255	1	40042	4
VA	CHESAPEAKE	"APPLIED TECHNICAL SERVICES, INC.   "	45-25477-01  	3035133	1	40042	5
WV	BRIDGEPORT	"PHARMALOGIC WV, LTD.               "	47-25375-01MD	3034289	1	40042	4
AK	ANCHORAGE	"KAKIVIK ASSET MANAGEMENT, LLC      "	50-27667-01  	3035371	4	40043	4
ID	BOISE	BOISE STATE UNIVERSITY             	11-27388-01  	3032218	4	40043	4
MI	HEMLOCK	HEMLOCK SEMICONDUCTOR CORPORATION  	21-32682-01  	3037611	3	40043	4
MI	MT. PLEASANT	CENTRAL MICHIGAN UNIVERSITY        	21-01432-02  	3000811	3	40043	4
MT	TOWNSEND	"GRAYMONT WESTERN US, INC.          "	25-27027-01  	3031618	4	40043	4
NJ	ATCO	"MARTIN A. ACKLEY ASSOCIATES, INC.  "	29-27911-01  	3029570	1	40043	4
NJ	KEYPORT	"HENRY VITALE, INC.                 "	29-28126-01  	3030317	1	40043	4
NJ	MT. LAUREL	"TRC ENGINEERS, INC.                "	29-27857-03  	3038109	1	40043	1
NJ	MT. LAUREL	"TRC ENGINEERS, INC.                "	29-27857-01  	3029302	1	40043	4
NJ	RAHWAY	BUREAU VERITAS NORTH AMERICA (BVNA)	29-30107-03  	3038110	1	40043	1
NJ	RAHWAY	"VERITCAL V-NORTHEAST, INC.         "	29-30107-01  	3033387	1	40043	4
NJ	SOUTH PLAINFIELD	"CRISDEL GROUP, INC.                "	29-28360-02  	3037417	1	40043	4
NJ	SOUTH PLAINFIELD	J. H. REID GENERAL CONTRACTOR      	29-28262-01  	3030729	1	40043	4
NJ	VOORHEES	"SOUTHERN NJ CARDIAC SPECIALISTS,PA "	29-30429-01  	3034632	1	40043	4
VT	WILLISTON	PHARMALOGIC LTD.                   	44-30124-01MD	3033449	1	40043	4
CO	DENVER	"INTERIOR, DEPARTMENT OF THE        "	05-01399-08  	3003728	4	40044	8
DE	NEWARK	TRACERCO                           	07-28386-01  	3031174	1	40044	4
IN	LAPORTE	LAPORTE HOSPITAL & HEALTH SERVICES 	13-15151-01  	3008653	3	40044	4
MO	KANSAS CITY	"APTUIT, INC.                       "	24-15595-01  	3009415	3	40044	4
NJ	MOUNT LAUREL	"GOLDER ASSOCIATES, INC.            "	29-28576-02  	3038112	1	40044	1
NJ	MOUNT LAUREL	"GOLDER ASSOCIATES, INC.            "	29-28576-01  	3031907	1	40044	4
NJ	WHIPPANY	CONVERSE CONSULTANTS               	29-20639-01  	3020017	1	40044	4
NY	MINEOLA	"FUTURE TECH CONSULT OF NEW YORK,INC"	31-30664-01  	3035795	1	40044	4
SC	MULLINS	SLI LIGHTING PRODUCTS INC.         	39-31336-03  	3038111	1	40044	1
SC	MULLINS	SLI LIGHTING PRODUCTS INC.         	39-31336-01  	3037842	1	40044	4
TX	CORPUS CHRISTI	"ARMY, DEPARTMENT OF THE            "	STB-1168     	4008177	4	40044	5
VA	NORFOLK	TETRA TECH EC INC                  	46-27767-01  	3036414	1	40044	4
WV	BECKLEY	"BECKLEY ONCOLOGY ASSOCIATES, INC.  "	47-31304-02  	3037863	1	40044	4
CT	NEW BRITAIN	"PL MEDICAL COMPANY, LLC            "	06-30865-01  	3036470	1	40045	4
ID	NAMPA	PROJECT ENGINEERING CONSULTANTS LTD	11-29224-01  	3037126	4	40045	4
IN	INDIANAPOLIS	"CARE GROUP, LLC., THE              "	13-19923-01  	3019538	3	40045	4
MO	ST. LOUIS	ST. JOHN'S MERCY MEDICAL CENTER    	24-00794-03  	3002283	3	40045	4
NJ	SOUTH BOUND BROOK	"MELICK-TULLY & ASSOCIATES, PC      "	29-20773-01  	3022057	1	40045	4
PR	CAGUAS	HOSPITAL HIMA SAN PABLO - CAGUAS   	52-25019-01  	3030826	1	40045	4
PR	MAYAGUEZ	MAYAGUEZ NUCLEAR MEDICINE          	52-25507-01  	3035314	1	40045	4
WV	WHEELING	"WHEELING HOSPITAL, INC.            "	47-05322-02  	3012570	1	40045	4
DE	CLAYMONT	GENERAL CHEMICAL CORPORATION       	07-16499-01  	3011139	1	40046	5
IN	MUNSTER	"CARDIAC CARE CONSULTANTS, P.C.     "	13-32585-01  	3036996	3	40046	4
MA	STOUGHTON	"SHAW ENVIRON. & INFRASTRUCTURE, INC"	20-31340-01  	3037850	1	40046	8
MD	BELTSVILLE	"AGRICULTURE, DEPARTMENT OF         "	19-00915-03  	3004530	1	40046	9
MI	LAPEER	LAPEER REGIONAL MEDICAL CENTER     	21-11553-01  	3002102	3	40046	4
MI	SOUTHFIELD	"5 STAR ENGINEERING, P.C.           "	21-32632-01  	3037339	3	40046	5
MO	KANSAS CITY	TRUMAN MEDICAL CENTER              	24-25816-01  	3030130	3	40046	4
MO	KENNETT	"KENNETT HMA, INC.,                 "	24-17628-01  	3013083	3	40046	4
NJ	ELMWOOD PARK	"BIO-REFERENCE LABORATORIES, INC.   "	29-27855-01  	3029301	1	40046	4
NJ	FARMINGDALE	WALTER R. EARLE CORPORATION (THE)  	29-30029-01  	3033116	1	40046	4
NJ	WALL	"FRENCH & PARRELLO ASSOCIATES, P.A. "	29-28432-01  	3031295	1	40046	4
PR	SAN JUAN	LANTHEUS MEDICAL IMAGING           	52-25361-02  	3038114	1	40046	1
TX	SUGAR LAND	SCHLUMBERGER TECHNOLOGY CORP.      	42-00090-03  	3006388	4	40046	4
